Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
050F78      8E    No     0004EB12-0004EBA4       93
051006      1A    Yes    0004EBA5-0004EBAC        8
051020     1E6    No     0004EBAD-0004ED97      1EB
05120E       1    No     0004ED98-0004ED9D        6
05121C     1D8    No     0004ED9E-0004EF7A      1DD
0513F4      1B    Yes    0004EF7B-0004EF82        8
051410       3    No     0004EF83-0004EF8A        8
05141C      24    Yes    0004EF8B-0004EF92        8
051442      76    No     0004EF93-0004F00D       7B
0514B8      18    Yes    0004F00E-0004F015        8
0514D0     1F0    No     0004F016-0004F20A      1F5
0516C6     1FA    No     0004F20B-0004F409      1FF
0518C6      72    No     0004F40A-0004F480       77
051939       D    Yes    0004F481-0004F488        8
051946     1BA    No     0004F489-0004F647      1BF
051B06       9    No     0004F648-0004F655        E
051B0F      11    Yes    0004F656-0004F65D        8
051B20      20    No     0004F65E-0004F682       25
051B46       2    No     0004F683-0004F689        7
051B50      28    No     0004F68A-0004F6B6       2D
051B78       F    Yes    0004F6B7-0004F6BE        8
051B87     113    No     0004F6BF-0004F7D6      118
051C9A       D    Yes    0004F7D7-0004F7DE        8
051CA8      67    No     0004F7DF-0004F84A       6C
