Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
152EF3       A    Yes    0000C75F-0000C766        8
152F04       5    No     0000C767-0000C770        A
152F10       5    Yes    0000C771-0000C778        8
152F20      60    No     0000C779-0000C7DD       65
152F86      5D    No     0000C7DE-0000C83F       62
152FE4      3B    Yes    0000C840-0000C847        8
153020      E5    No     0000C848-0000C931       EA
153105      1B    Yes    0000C932-0000C939        8
153120      10    No     0000C93A-0000C94E       15
153130       D    Yes    0000C94F-0000C956        8
15313E      AF    No     0000C957-0000CA0A       B4
1531ED      33    Yes    0000CA0B-0000CA12        8
153220       F    No     0000CA13-0000CA26       14
15322F       F    Yes    0000CA27-0000CA2E        8
15323F      96    No     0000CA2F-0000CAC9       9B
1532D6      12    Yes    0000CACA-0000CAD1        8
1532E8       7    No     0000CAD2-0000CADD        C
1532EF      30    Yes    0000CADE-0000CAE5        8
153320      D7    No     0000CAE6-0000CBC1       DC
1533F8      10    Yes    0000CBC2-0000CBC9        8
153408       7    No     0000CBCA-0000CBD5        C
15340F      11    Yes    0000CBD6-0000CBDD        8
153420     2D4    No     0000CBDE-0000CEB6      2D9
1536F4      38    Yes    0000CEB7-0000CEBE        8
15372C       3    No     0000CEBF-0000CEC6        8
153730       F    Yes    0000CEC7-0000CECE        8
15373F      83    No     0000CECF-0000CF56       88
1537C8      58    Yes    0000CF57-0000CF5E        8
153820      E7    No     0000CF5F-0000D04A       EC
153907      19    Yes    0000D04B-0000D052        8
153920      C8    No     0000D053-0000D11F       CD
1539EE      12    Yes    0000D120-0000D127        8
153A0C       4    No     0000D128-0000D130        9
153A10       8    Yes    0000D131-0000D138        8
153A20     477    No     0000D139-0000D5B4      47C
153E9D       8    No     0000D5B5-0000D5C1        D
153EA6      19    Yes    0000D5C2-0000D5C9        8
153EC4       3    No     0000D5CA-0000D5D1        8
153ECE      11    Yes    0000D5D2-0000D5D9        8
153EE0       3    No     0000D5DA-0000D5E1        8
153EF0      19    Yes    0000D5E2-0000D5E9        8
153F09      27    No     0000D5EA-0000D615       2C
153F30       E    Yes    0000D616-0000D61D        8
153F3E     25A    No     0000D61E-0000D87C      25F
15419E     252    No     0000D87D-0000DAD3      257
1543F0      10    Yes    0000DAD4-0000DADB        8
154400     2F7    No     0000DADC-0000DDD7      2FC
1546F7      33    Yes    0000DDD8-0000DDDF        8
15472A       8    No     0000DDE0-0000DDEC        D
154738       8    No     0000DDED-0000DDF9        D
154746       A    No     0000DDFA-0000DE08        F
154758       8    No     0000DE09-0000DE15        D
154766      6A    No     0000DE16-0000DE84       6F
1547DA      16    No     0000DE85-0000DE9F       1B
154804       C    No     0000DEA0-0000DEB0       11
154816      BB    No     0000DEB1-0000DF70       C0
1548D8      19    No     0000DF71-0000DF8E       1E
